id,cnt_fam_members,name_housing_type,family_rank
5135538,7.0,Co-op apartment,1
5135534,7.0,Co-op apartment,1
5135535,7.0,Co-op apartment,1
5135539,7.0,Co-op apartment,1
5135541,7.0,Co-op apartment,1
5135536,7.0,Co-op apartment,1
5135540,7.0,Co-op apartment,1
5135537,7.0,Co-op apartment,1
5429399,7.0,Co-op apartment,1
7135540,7.0,Co-op apartment,1
5105054,20.0,House / apartment,1
5061207,15.0,House / apartment,2
5061210,15.0,House / apartment,2
5061211,15.0,House / apartment,2
5931570,14.0,House / apartment,5
5931571,14.0,House / apartment,5
5931568,14.0,House / apartment,5
5931569,14.0,House / apartment,5
6460457,7.0,Municipal apartment,1
6460456,7.0,Municipal apartment,1
5435787,6.0,Municipal apartment,3
5435788,6.0,Municipal apartment,3
5435791,6.0,Municipal apartment,3
5435784,6.0,Municipal apartment,3
5435789,6.0,Municipal apartment,3
5435790,6.0,Municipal apartment,3
5435786,6.0,Municipal apartment,3
5435793,6.0,Municipal apartment,3
5435792,6.0,Municipal apartment,3
7762752,6.0,Municipal apartment,3
7435793,6.0,Municipal apartment,3
5762752,6.0,Municipal apartment,3
5762751,6.0,Municipal apartment,3
5762753,6.0,Municipal apartment,3
5762750,6.0,Municipal apartment,3
5384841,6.0,Office apartment,1
5298602,6.0,Office apartment,1
5384846,6.0,Office apartment,1
5384845,6.0,Office apartment,1
5384844,6.0,Office apartment,1
5384843,6.0,Office apartment,1
5384842,6.0,Office apartment,1
7424978,5.0,Rented apartment,1
7424977,5.0,Rented apartment,1
7317642,5.0,Rented apartment,1
6078164,5.0,Rented apartment,1
6078162,5.0,Rented apartment,1
6152806,5.0,Rented apartment,1
5944650,5.0,Rented apartment,1
5944649,5.0,Rented apartment,1
5944652,5.0,Rented apartment,1
5944651,5.0,Rented apartment,1
5868481,5.0,Rented apartment,1
5868482,5.0,Rented apartment,1
5235653,5.0,Rented apartment,1
5235652,5.0,Rented apartment,1
5235655,5.0,Rented apartment,1
5235651,5.0,Rented apartment,1
5235650,5.0,Rented apartment,1
5235656,5.0,Rented apartment,1
5235654,5.0,Rented apartment,1
6317640,5.0,Rented apartment,1
6317641,5.0,Rented apartment,1
6239803,5.0,Rented apartment,1
6317642,5.0,Rented apartment,1
6317639,5.0,Rented apartment,1
5424976,5.0,Rented apartment,1
5424978,5.0,Rented apartment,1
5424975,5.0,Rented apartment,1
5424977,5.0,Rented apartment,1
6581940,5.0,Rented apartment,1
6581943,5.0,Rented apartment,1
6581944,5.0,Rented apartment,1
6540526,5.0,Rented apartment,1
6692766,5.0,Rented apartment,1
6540525,5.0,Rented apartment,1
6540523,5.0,Rented apartment,1
6540524,5.0,Rented apartment,1
6692767,5.0,Rented apartment,1
6026921,6.0,With parents,1
5568648,6.0,With parents,1
5350137,5.0,With parents,3
6006676,5.0,With parents,3
5598435,5.0,With parents,3
5513373,5.0,With parents,3
6006674,5.0,With parents,3
5408596,5.0,With parents,3
5350136,5.0,With parents,3
5350135,5.0,With parents,3
5350134,5.0,With parents,3
5350133,5.0,With parents,3
6006673,5.0,With parents,3
6006675,5.0,With parents,3
6036995,5.0,With parents,3
6036998,5.0,With parents,3
6006672,5.0,With parents,3
6060032,5.0,With parents,3
6006671,5.0,With parents,3
6060033,5.0,With parents,3
6060034,5.0,With parents,3
5918849,5.0,With parents,3
5918850,5.0,With parents,3
6006669,5.0,With parents,3
6045799,5.0,With parents,3
6036997,5.0,With parents,3
6006670,5.0,With parents,3
5919113,5.0,With parents,3
6060035,5.0,With parents,3
6051655,5.0,With parents,3
6481191,5.0,With parents,3
6304291,5.0,With parents,3
6472501,5.0,With parents,3
6481198,5.0,With parents,3
6304286,5.0,With parents,3
6472503,5.0,With parents,3
6281288,5.0,With parents,3
6304287,5.0,With parents,3
6472495,5.0,With parents,3
6481199,5.0,With parents,3
6472494,5.0,With parents,3
6472502,5.0,With parents,3
6472497,5.0,With parents,3
6472506,5.0,With parents,3
6472498,5.0,With parents,3
6304288,5.0,With parents,3
6304289,5.0,With parents,3
6481201,5.0,With parents,3
6472505,5.0,With parents,3
6481196,5.0,With parents,3
6472504,5.0,With parents,3
6481197,5.0,With parents,3
6472496,5.0,With parents,3
6481202,5.0,With parents,3
6481200,5.0,With parents,3
6304290,5.0,With parents,3
6304281,5.0,With parents,3
6304285,5.0,With parents,3
6481189,5.0,With parents,3
6481190,5.0,With parents,3
6472500,5.0,With parents,3
6481203,5.0,With parents,3
5028882,5.0,With parents,3
5269061,5.0,With parents,3
5069221,5.0,With parents,3
5069222,5.0,With parents,3
5028881,5.0,With parents,3
5028880,5.0,With parents,3
5056011,5.0,With parents,3
5028879,5.0,With parents,3
5028878,5.0,With parents,3
5028877,5.0,With parents,3
5028876,5.0,With parents,3
5028875,5.0,With parents,3
5028874,5.0,With parents,3
5069223,5.0,With parents,3
5269056,5.0,With parents,3
5269057,5.0,With parents,3
5269060,5.0,With parents,3
5091916,5.0,With parents,3
5091917,5.0,With parents,3
5091918,5.0,With parents,3
5091919,5.0,With parents,3
6693503,5.0,With parents,3
6693502,5.0,With parents,3
6636248,5.0,With parents,3
6617551,5.0,With parents,3
6630228,5.0,With parents,3
5641966,5.0,With parents,3
5641965,5.0,With parents,3
5769338,5.0,With parents,3
5769337,5.0,With parents,3
5641967,5.0,With parents,3
5641972,5.0,With parents,3
5769335,5.0,With parents,3
5683642,5.0,With parents,3
5641973,5.0,With parents,3
5769336,5.0,With parents,3
5641971,5.0,With parents,3
5641970,5.0,With parents,3
5641969,5.0,With parents,3
5769334,5.0,With parents,3
5683646,5.0,With parents,3
5683647,5.0,With parents,3
5769333,5.0,With parents,3
5683641,5.0,With parents,3
6783128,5.0,With parents,3
6783125,5.0,With parents,3
6731612,5.0,With parents,3
6743874,5.0,With parents,3
6781717,5.0,With parents,3
6731609,5.0,With parents,3
6731608,5.0,With parents,3
6743875,5.0,With parents,3
6783127,5.0,With parents,3
7028875,5.0,With parents,3
6743599,5.0,With parents,3
7113794,5.0,With parents,3
6783126,5.0,With parents,3
6731611,5.0,With parents,3
6743598,5.0,With parents,3
6783124,5.0,With parents,3
7472497,5.0,With parents,3
7683642,5.0,With parents,3
6137515,5.0,With parents,3
6144480,5.0,With parents,3
6162124,5.0,With parents,3
6144481,5.0,With parents,3
6079925,5.0,With parents,3
6154065,5.0,With parents,3
6154064,5.0,With parents,3
6154063,5.0,With parents,3
6154062,5.0,With parents,3
6154061,5.0,With parents,3
6137518,5.0,With parents,3
6113794,5.0,With parents,3
6137516,5.0,With parents,3
6137517,5.0,With parents,3
